Season,Timestamp,Faction,WinRate,OverRep,FourZeroStart,EventWins,PlayerPopulation
1,2025-09-01,Aeldari,48,1.12,8,132,3
1,2025-09-01,Genestealer Cults,49,1.08,8,45,2
1,2025-09-01,Thousand Sons,47,1.05,7,42,2
1,2025-09-01,Adepta Sororitas,50,1.35,10,68,3
1,2025-09-01,Necrons,51,1.18,9,98,6
1,2025-09-01,Chaos Daemons,50,1.02,8,55,4
1,2025-09-01,Death Guard,49,0.95,7,75,4
1,2025-09-01,Imperial Knights,48,0.88,6,45,3
1,2025-09-01,Deathwatch,49,0.98,7,14,1
1,2025-09-01,Space Wolves,49,1.05,8,35,2
1,2025-09-01,Black Templars,50,1.02,8,38,3
1,2025-09-01,Leagues of Votann,48,0.72,6,32,2
1,2025-09-01,World Eaters,49,0.82,7,42,3
1,2025-09-01,Adeptus Custodes,51,0.92,7,38,4
2,2025-11-15,Aeldari,52,1.35,10,148,4
2,2025-11-15,Genestealer Cults,51,1.32,10,52,2
2,2025-11-15,Thousand Sons,50,1.15,9,50,3
2,2025-11-15,Adepta Sororitas,50,1.28,10,65,3
2,2025-11-15,Necrons,50,1.12,8,100,6
2,2025-11-15,Chaos Daemons,51,1.08,8,58,4
2,2025-11-15,Death Guard,50,1.02,8,85,5
2,2025-11-15,Imperial Knights,50,0.98,7,51,4
2,2025-11-15,Deathwatch,50,1.04,8,16,1
2,2025-11-15,Space Wolves,50,1.08,9,37,2
2,2025-11-15,Black Templars,49,0.98,7,38,3
2,2025-11-15,Leagues of Votann,49,0.78,7,36,3
2,2025-11-15,World Eaters,49,0.88,8,45,3
2,2025-11-15,Adeptus Custodes,50,0.82,6,39,5
3,2026-01-20,Aeldari,54,1.50,11,160,5
3,2026-01-20,Genestealer Cults,53,1.48,11,55,2
3,2026-01-20,Thousand Sons,52,1.25,10,56,3
3,2026-01-20,Adepta Sororitas,51,1.30,10,68,3
3,2026-01-20,Necrons,51,1.13,9,102,6
3,2026-01-20,Chaos Daemons,51,1.06,8,60,4
3,2026-01-20,Death Guard,50,1.02,8,87,5
3,2026-01-20,Imperial Knights,50,1.01,7,54,4
3,2026-01-20,Deathwatch,50,1.05,8,16,1
3,2026-01-20,Space Wolves,50,1.10,9,39,2
3,2026-01-20,Black Templars,49,0.98,8,39,3
3,2026-01-20,Leagues of Votann,49,0.81,8,37,3
3,2026-01-20,World Eaters,50,0.88,8,50,4
3,2026-01-20,Adeptus Custodes,50,0.80,6,40,5
